Compound,Date,Negative,Neutral,Positive,Source Account,Text
-0.296,2018-06-28 19:05:04+00:00,0.099,0.901,0.0,@BBC,Tesla chief executive Elon Musk has been accused of using an image of a farting unicorn for his business without pe… https://t.co/kbq6rFYcrM
0.0,2018-06-28 18:02:05+00:00,0.0,1.0,0.0,@BBC,Can changing your body change your life? https://t.co/be3u67fFFS
0.4696,2018-06-28 16:13:35+00:00,0.0,0.861,0.139,@BBC,RT @bbcthree: Housemates who never take the bins out? A girlfriend who keeps forgetting your name? Let Uncle @RomeshRanga help https://t.co…
-0.128,2018-06-28 16:00:25+00:00,0.133,0.753,0.115,@BBC,"Half of all people who drown never intended to be in the water.

Knowing this could save a life 👇 https://t.co/94IezeCREn"
0.0,2018-06-28 15:52:28+00:00,0.0,1.0,0.0,@BBC,"RT @BBC6Music: If you could pick just one Erykah Badu (@fatbellybella) tune, which would you choose?

Here's @JanelleMonae on one - maybe t…"
0.4963,2018-06-28 15:22:37+00:00,0.052,0.761,0.188,@BBC,"RT @BBCR1: TONIGHT Elton John (@eltonofficial) picks the Party Playlist for @AnnieMac - you don't want to miss this! Expect Aretha, Rihanna…"
0.6369,2018-06-28 13:00:23+00:00,0.09,0.676,0.234,@BBC,"Narcissists might be irritating attention seekers - but they are also *annoyingly* likely to be successful, accordi… https://t.co/yguYXaIv0d"
0.4389,2018-06-28 12:02:08+00:00,0.0,0.838,0.162,@BBC,😲 Raghda Ezzeldin can hold her breath under water for more than five minutes! https://t.co/x8hOifrjWI
-0.3818,2018-06-28 11:47:05+00:00,0.115,0.885,0.0,@BBC,"RT @BBCNews: Prince William is expected to visit his great-grandmother's grave in Jerusalem.

She was Princess Alice of Greece, who helped…"
0.0,2018-06-28 11:16:03+00:00,0.0,1.0,0.0,@BBC,🦔 A hedgehog which it is thought could be the world's fattest has been placed on a strict diet and exercise regime.… https://t.co/351IQDFz3F
0.1531,2018-06-28 10:12:00+00:00,0.0,0.833,0.167,@BBC,"Plastic. It’s durable, dependable and virtually indestructible.

#PlasticsAction https://t.co/4wNNoNfvPt"
